# Time-averaged data for fix myat3
# TimeStep v_myenthalpy
100 -2164.14
200 -2377.17
300 -2148.83
400 -2280.67
500 -2000.89
600 -2238.43
700 -2131.35
800 -2046.1
900 -2148.94
1000 -2059.34
1100 -2189.54
1200 -2316.45
1300 -2363.96
1400 -2271.39
1500 -2146.25
1600 -1793.88
1700 -1998.6
1800 -2277.95
1900 -2310.81
2000 -1879.44
2100 -1955.89
2200 -1995.47
2300 -2110.83
2400 -2074.29
2500 -1947.86
2600 -2027.1
2700 -1989.9
2800 -1938.78
2900 -1984.09
3000 -2089.79
3100 -2070.67
3200 -2046.5
3300 -2297.34
3400 -2575.98
3500 -2250.71
3600 -2210.03
3700 -2385.69
3800 -2164.34
3900 -1966.4
4000 -1828.42
4100 -2218.54
4200 -2272.28
4300 -2226.91
4400 -2092.01
4500 -2115.74
4600 -2391.6
4700 -2196.14
4800 -2263.78
4900 -2073.7
5000 -2021.06
5100 -1939.36
5200 -2166.86
5300 -2334.01
5400 -2146.14
5500 -1917.75
5600 -2215.58
5700 -1968.5
5800 -1882.94
5900 -2089.5
6000 -2381.44
6100 -2233.61
6200 -2164.19
6300 -2188.09
6400 -2086.26
6500 -2114.07
6600 -2224.14
6700 -2012.93
6800 -1974.94
6900 -2119.11
7000 -2185.16
7100 -2328.05
7200 -2065.69
7300 -1995.44
7400 -2180.81
7500 -2288.33
7600 -2399.41
7700 -2048.02
7800 -2087.36
7900 -2297.75
8000 -2220.39
8100 -2107.09
8200 -2189
8300 -2198.67
8400 -2422.12
8500 -2243.54
8600 -2137.48
8700 -2093.51
8800 -2158
8900 -2448.62
9000 -2279.42
9100 -2180.47
9200 -2199.46
9300 -2133.02
9400 -2143.16
9500 -2136.33
9600 -2056.98
9700 -2149.86
9800 -2338.67
9900 -2300.13
10000 -2033.67
10100 -2181.22
10200 -2358.82
10300 -2246.83
10400 -2223.67
10500 -2221.73
10600 -2268.4
10700 -2256.63
10800 -2166.4
10900 -2270.53
11000 -2281.47
11100 -2309.07
11200 -2069.1
11300 -2021.97
11400 -2295.28
11500 -2375.53
11600 -2384.61
11700 -2477.3
11800 -2247.98
11900 -2096.31
12000 -1965.24
12100 -2324.33
12200 -2377.78
12300 -2396.88
12400 -2490.02
12500 -2392.98
12600 -2299.55
12700 -2016.29
12800 -2005.2
12900 -2007.17
13000 -2435.22
13100 -2566.54
13200 -2273.09
13300 -1960.95
13400 -2102.3
13500 -1975.83
13600 -2140.19
13700 -2271.42
13800 -2170.11
13900 -2302.08
14000 -2449.97
14100 -2366.04
14200 -2279.49
14300 -2124.35
14400 -2304.85
14500 -2294.17
14600 -2182.29
14700 -2349.85
14800 -2006.49
14900 -2041.41
15000 -2447.64
15100 -2575.55
15200 -2328.54
15300 -2012.6
15400 -2100.68
15500 -2178.3
15600 -2445.9
15700 -2400.56
15800 -2174.22
15900 -2062.6
16000 -1992.91
16100 -2105.85
16200 -2398.24
16300 -2319.17
16400 -2285.84
16500 -2004.18
16600 -2206.59
16700 -2413.01
16800 -2314.59
16900 -2410.59
17000 -2214.04
17100 -2177.73
17200 -2127.53
17300 -2130.14
17400 -2027.4
17500 -2077.34
17600 -2112.51
17700 -2036.23
17800 -2159.19
17900 -2535.98
18000 -2376.56
18100 -2355.08
18200 -2404.53
18300 -2196.58
18400 -2390.14
18500 -2208.99
18600 -2399.92
18700 -2273.18
18800 -2014.51
18900 -2171.28
19000 -2215.22
19100 -2614.17
19200 -2529.17
19300 -2597.98
19400 -2525.2
19500 -2465.19
19600 -2568.37
19700 -2121.89
19800 -2270.38
19900 -2301.6
20000 -2431.53
20100 -2144.23
20200 -1933.98
20300 -2223.28
20400 -2170.08
20500 -2241.31
20600 -2329.9
20700 -2334.42
20800 -2356.34
20900 -2484.04
21000 -2448.91
21100 -2188.07
21200 -2079.81
21300 -2153.38
21400 -2437.78
21500 -2698.43
21600 -2414.98
21700 -2135.2
21800 -2098.3
21900 -2405.5
22000 -2535.82
22100 -2500.37
22200 -2410.42
22300 -1910.74
22400 -2112.74
22500 -2269.63
22600 -2335.43
22700 -2415.64
22800 -2385.4
22900 -2409.94
23000 -2424.12
23100 -2291.63
23200 -2622.89
23300 -2577.71
23400 -2395.53
23500 -2402.29
23600 -2181.06
23700 -2160.59
23800 -2246.8
23900 -2406.04
24000 -2467.03
24100 -2340.46
24200 -2352.95
24300 -2460.1
24400 -2688.17
24500 -2379.43
24600 -2003.95
24700 -2005.43
24800 -2518.71
24900 -2536.99
25000 -2398.36
25100 -2160.99
25200 -2175.38
25300 -2258.62
25400 -2388.23
25500 -2373.69
25600 -2469.29
25700 -2196.69
25800 -2132.91
25900 -2402.59
26000 -2422.53
26100 -2574.46
26200 -2420.64
26300 -2531.66
26400 -2344.64
26500 -2201.39
26600 -2230.98
26700 -2352.54
26800 -2354.52
26900 -2174.79
27000 -2066.22
27100 -2548.76
27200 -2511.1
27300 -2454.72
27400 -2226.22
27500 -2021.65
27600 -2354.89
27700 -2440.94
27800 -2335.67
27900 -2320.95
28000 -2378.22
28100 -2604.84
28200 -2633.41
28300 -2480.21
28400 -2277.15
28500 -2342.74
28600 -2337.43
28700 -2339.7
28800 -2171.25
28900 -2238.72
29000 -2165.75
29100 -2270.1
29200 -2248.5
29300 -2002.52
29400 -2010.19
29500 -2558
29600 -2606.9
29700 -2482.96
29800 -2370.47
29900 -2447
30000 -2291.39
