# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 295.191
200 302.699
300 298.651
400 300.466
500 301.79
600 300.354
700 298.046
800 298.338
900 297.354
1000 300.721
1100 304.788
1200 300.478
1300 296.003
1400 296.362
1500 304.023
1600 300.663
1700 300.044
1800 299.881
1900 294.988
2000 297.312
2100 306.412
2200 303.933
2300 299.756
2400 296.039
2500 301.703
2600 298.217
2700 305.103
2800 307.847
2900 303.108
3000 295.844
3100 302.395
3200 299.799
3300 294.524
3400 292.485
3500 298.912
3600 304.16
3700 300.079
3800 296.161
3900 299.535
4000 310.739
4100 304.541
4200 296.81
4300 298.961
4400 304.653
4500 300.997
4600 292.504
4700 297.019
4800 303.457
4900 300.061
5000 300.076
5100 297.246
5200 292.896
5300 293.812
5400 304.59
5500 298.528
5600 298.265
5700 301.855
5800 308.116
5900 298.929
6000 297.881
6100 300.392
6200 300.289
6300 300.051
6400 299.243
6500 296.674
6600 298.002
6700 300.276
6800 304.649
6900 302.763
7000 293.535
7100 297.492
7200 300.141
7300 303.199
7400 301.02
7500 297.549
7600 296.974
7700 301.936
7800 307.091
7900 300.382
8000 297.716
8100 296.39
8200 303.938
8300 302.593
8400 301.261
8500 297.828
8600 302.176
8700 300.501
8800 298.393
8900 294.553
9000 297.68
9100 300.262
9200 303.786
9300 298.199
9400 296.108
9500 305.496
9600 304.549
9700 303.168
9800 298.946
9900 295.082
10000 301.649
10100 303.309
10200 298.81
10300 298.579
10400 304.937
10500 297.866
10600 291.571
10700 299.17
10800 303.059
10900 297.247
11000 297.029
11100 300.327
11200 303.634
11300 305.669
11400 295.365
11500 296.252
11600 303.557
11700 299.037
11800 299.564
11900 306.747
12000 301.523
12100 297.438
12200 296.575
12300 299.423
12400 300.683
12500 298.647
12600 299.888
12700 299.931
12800 308.715
12900 299.734
13000 298.584
13100 299.519
13200 297.675
13300 298.495
13400 305.684
13500 300.139
13600 296.701
13700 297.759
13800 299.768
13900 305.759
14000 302.016
14100 294.954
14200 299.104
14300 298.764
14400 303.42
14500 301.723
14600 296.522
14700 298.267
14800 305.669
14900 304.676
15000 305.133
15100 297.981
15200 296.87
15300 300.759
15400 302.978
15500 300.797
15600 301.444
15700 298.002
15800 299.838
15900 305.789
16000 303.988
16100 296.369
16200 298.761
16300 301.479
16400 303.548
16500 308.091
16600 298.851
16700 300.829
16800 298.577
16900 299.238
17000 301.623
17100 306.133
17200 303.685
17300 298.449
17400 297.882
17500 301.504
17600 302.95
17700 302.837
17800 301.469
17900 299.406
18000 294.52
18100 298.855
18200 303.133
18300 297.686
18400 303.619
18500 302.522
18600 297.81
18700 297.575
18800 299.178
18900 308.475
19000 296.239
19100 293.752
19200 299.257
19300 303.269
19400 298.935
19500 292.79
19600 294.266
19700 302.246
19800 303.897
19900 297.981
20000 296.235
20100 301.26
20200 305.522
20300 303.213
20400 298.181
20500 297.907
20600 300.023
20700 301.835
20800 310.176
20900 298.655
21000 297.496
21100 300.353
21200 303.027
21300 302.709
21400 296.878
21500 296.976
21600 297.5
21700 300.742
21800 306.147
21900 301.383
22000 299.706
22100 296.176
22200 300.646
22300 306.832
22400 303.628
22500 302.702
22600 299.404
22700 301.442
22800 296.493
22900 298.061
23000 307.064
23100 300.284
23200 297.252
23300 298.449
23400 297.565
23500 292.86
23600 301.726
23700 299.351
23800 304.977
23900 295.618
24000 294.564
24100 299.394
24200 300.372
24300 301.477
24400 298.728
24500 300.077
24600 305.886
24700 304.515
24800 300.839
24900 296.586
25000 297.714
25100 305.636
25200 304.312
25300 301.055
25400 299.111
25500 297.944
25600 303.854
25700 302.359
25800 304.273
25900 292.885
26000 293.022
26100 301.318
26200 299.605
26300 299.903
26400 300.287
26500 304.372
26600 299.089
26700 295.915
26800 297.854
26900 307.118
27000 304.779
27100 301.221
27200 297.559
27300 300.519
27400 303.084
27500 308.043
27600 306.939
27700 295.914
27800 300.141
27900 303.363
28000 301.704
28100 294.13
28200 294.358
28300 300.259
28400 301.907
28500 298.249
28600 298.262
28700 306.068
28800 306.247
28900 300.585
29000 296.884
29100 301.421
29200 301.509
29300 308.864
29400 299.725
29500 296.17
29600 295.001
29700 301.554
29800 296.64
29900 302.493
30000 302.026
