# Time-averaged data for fix myat2
# TimeStep v_myvol
100 75269.1
200 75352.3
300 75327.8
400 75285.4
500 75234.8
600 75189.4
700 75120.1
800 75088.8
900 75138.4
1000 75202.6
1100 75322.1
1200 75532.5
1300 75719.8
1400 75812.5
1500 75771.1
1600 75592.3
1700 75449.3
1800 75381.2
1900 75207.1
2000 74935.4
2100 74781.3
2200 74741.1
2300 74702.5
2400 74633.2
2500 74621.1
2600 74740.6
2700 74994.9
2800 75253.4
2900 75542.6
3000 75848.3
3100 76078.9
3200 76301.2
3300 76552
3400 76760.7
3500 76789.9
3600 76713.5
3700 76570.1
3800 76348.4
3900 76096
4000 75898.4
4100 75854.5
4200 75861.2
4300 75817.5
4400 75764.4
4500 75767.1
4600 75758
4700 75665.4
4800 75510.5
4900 75226
5000 74955.9
5100 74738.2
5200 74652
5300 74716.1
5400 74773.9
5500 74772.6
5600 74829.7
5700 74869.9
5800 74877.9
5900 74908.4
6000 74866.7
6100 74664.7
6200 74431.3
6300 74194.5
6400 74017.4
6500 73964.7
6600 73931.9
6700 73851.7
6800 73866.3
6900 73919.6
7000 73939.3
7100 73946.2
7200 73918.6
7300 73905.7
7400 73993.5
7500 74163.8
7600 74303.5
7700 74324.8
7800 74272.4
7900 74214.5
8000 74107.2
8100 74002.3
8200 73962.3
8300 73922.8
8400 73874.1
8500 73738
8600 73582.7
8700 73532.7
8800 73604
8900 73761
9000 73857.9
9100 73902.8
9200 73872.9
9300 73801.5
9400 73822.2
9500 73895.1
9600 73963.5
9700 74011.4
9800 74017.2
9900 73996.8
10000 73977.2
10100 73996.2
10200 73961.9
10300 73822.2
10400 73635.6
10500 73413.3
10600 73214.6
10700 73067.2
10800 72978.1
10900 72964.3
11000 72946.6
11100 72928.7
11200 72930.8
11300 73015.9
11400 73201.3
11500 73386.1
11600 73484.9
11700 73508.6
11800 73476.7
11900 73421.9
12000 73377.5
12100 73412.4
12200 73505.6
12300 73592.6
12400 73664.2
12500 73660.5
12600 73546.7
12700 73359.1
12800 73184.9
12900 73026.4
13000 72860.1
13100 72628.6
13200 72406.1
13300 72253.5
13400 72167.3
13500 72164.2
13600 72259.3
13700 72389.3
13800 72508.3
13900 72617.3
14000 72700.5
14100 72697.4
14200 72597.4
14300 72491.8
14400 72357.2
14500 72141.5
14600 71933
14700 71828.3
14800 71859.9
14900 72030
15000 72327.1
15100 72565
15200 72655.5
15300 72706
15400 72794.1
15500 72886.7
15600 72885.8
15700 72766.7
15800 72595.6
15900 72489.4
16000 72470.2
16100 72492.5
16200 72494.1
16300 72503.6
16400 72557.6
16500 72606.4
16600 72698.5
16700 72836.4
16800 72916.7
16900 72915.2
17000 72800.8
17100 72677.9
17200 72572.1
17300 72508.7
17400 72477.3
17500 72516.6
17600 72598.3
17700 72747.6
17800 72943.6
17900 73089.9
18000 73084.7
18100 73076.3
18200 73036
18300 72916.6
18400 72785.6
18500 72579.3
18600 72335.2
18700 72076.3
18800 71885.4
18900 71831.8
19000 71876.9
19100 71976.8
19200 72011.5
19300 72008
19400 71897.2
19500 71759.5
19600 71589.7
19700 71429.9
19800 71334.8
19900 71303.8
20000 71284.4
20100 71255.6
20200 71329
20300 71487.6
20400 71539.2
20500 71579.1
20600 71653.7
20700 71714.7
20800 71740.8
20900 71769.2
21000 71768.1
21100 71742.8
21200 71835.2
21300 71994.5
21400 72131.2
21500 72155
21600 72066.4
21700 71933.6
21800 71830.5
21900 71788.4
22000 71731.7
22100 71595.9
22200 71353
22300 71090
22400 70968
22500 70946.4
22600 70940.7
22700 70908.6
22800 70932.7
22900 71013.8
23000 71079.2
23100 71111.1
23200 71116.7
23300 71009.1
23400 70848
23500 70732.6
23600 70641.9
23700 70590.7
23800 70622.9
23900 70686.5
24000 70733.2
24100 70823.8
24200 70872.6
24300 70863.4
24400 70811.8
24500 70646.1
24600 70473
24700 70486.1
24800 70576.7
24900 70563.4
25000 70476.5
25100 70383.4
25200 70336
25300 70326.8
25400 70377.1
25500 70486.2
25600 70623.1
25700 70777.2
25800 70966.8
25900 71208
26000 71462.6
26100 71644.2
26200 71650.1
26300 71546.7
26400 71409.7
26500 71302.8
26600 71217.3
26700 71135.7
26800 71020.4
26900 70910.8
27000 70875.6
27100 70940.3
27200 70941.8
27300 70897.3
27400 70886.4
27500 70939
27600 71019.9
27700 71020.3
27800 71007.8
27900 70999
28000 70966.5
28100 70975.2
28200 70978.9
28300 70905.1
28400 70758.9
28500 70637.6
28600 70591.6
28700 70550.5
28800 70420.7
28900 70314.1
29000 70256.3
29100 70231.7
29200 70220.1
29300 70243.6
29400 70390.3
29500 70618.2
29600 70791.9
29700 70944.6
29800 71113.8
29900 71287.5
30000 71392.7
