# Time-averaged data for fix myat2
# TimeStep v_delta_r
100 5.19728
200 5.43122
300 5.60448
400 5.65468
500 5.50609
600 5.37605
700 5.50791
800 5.54765
900 5.49512
1000 5.42581
1100 5.62715
1200 5.63847
1300 5.53939
1400 5.46083
1500 5.75789
1600 6.10104
1700 5.91262
1800 5.68268
1900 5.65791
2000 5.70707
2100 5.86605
2200 6.08215
2300 6.20859
2400 6.47144
2500 6.70974
2600 6.77611
2700 6.97543
2800 7.29629
2900 7.56641
3000 7.54213
3100 7.44243
3200 7.32205
3300 7.29503
3400 7.32923
3500 7.12906
3600 7.11345
3700 7.07802
3800 7.01881
3900 6.83312
4000 6.72183
4100 6.67156
4200 6.65494
4300 6.74778
4400 6.6691
4500 6.54609
4600 6.31462
4700 5.9404
4800 6.07701
4900 6.2942
5000 6.60443
5100 7.03545
5200 7.30775
5300 7.26306
5400 7.09968
5500 7.1122
5600 7.10827
5700 7.24777
5800 7.34396
5900 7.12136
6000 6.98708
6100 7.03543
6200 7.09776
6300 7.02245
6400 7.30556
6500 7.42248
6600 7.43562
6700 7.39014
6800 7.39182
6900 7.28299
7000 7.13265
7100 6.86659
7200 6.78104
7300 6.8959
7400 7.03804
7500 7.16928
7600 7.33631
7700 7.51762
7800 7.50417
7900 7.36218
8000 7.25208
8100 7.37435
8200 7.5924
8300 7.33249
8400 7.32816
8500 7.48024
8600 7.38136
8700 7.29702
8800 7.27953
8900 7.34168
9000 7.45292
9100 7.53462
9200 7.6343
9300 7.97704
9400 8.34642
9500 8.42647
9600 8.45067
9700 8.40598
9800 8.35538
9900 8.45219
10000 8.76796
10100 9.14089
10200 9.26905
10300 9.21302
10400 9.16306
10500 9.11822
10600 9.29486
10700 9.39909
10800 9.39044
10900 9.20455
11000 8.88496
11100 8.9478
11200 8.85458
11300 8.97553
11400 9.2116
11500 9.07629
11600 8.96896
11700 9.0312
11800 9.09341
11900 9.20633
12000 9.21178
12100 9.17406
12200 9.20222
12300 9.29196
12400 9.30006
12500 9.30173
12600 9.15647
12700 9.17604
12800 8.99648
12900 8.9498
13000 8.65012
13100 8.57046
13200 8.40412
13300 8.61985
13400 8.41133
13500 8.65625
13600 8.91104
13700 8.79088
13800 8.64751
13900 8.73397
14000 8.48851
14100 8.37687
14200 8.13192
14300 8.03182
14400 8.158
14500 8.26322
14600 8.31387
14700 8.40109
14800 8.27422
14900 8.0776
15000 7.94871
15100 7.86718
15200 7.79342
15300 7.49724
15400 7.19921
15500 7.13848
15600 7.3577
15700 7.44671
15800 7.65408
15900 8.00152
16000 8.14898
16100 8.16405
16200 8.22149
16300 8.36107
16400 8.3987
16500 8.20351
16600 8.09505
16700 7.86343
16800 7.86012
16900 7.84175
17000 8.00949
17100 8.13234
17200 8.24928
17300 8.56486
17400 8.56113
17500 8.48418
17600 8.4871
17700 8.52908
17800 8.68747
17900 8.45263
18000 8.5194
18100 8.79928
18200 8.8338
18300 8.87929
18400 8.73346
18500 8.60328
18600 8.83876
18700 8.57568
18800 8.64606
18900 8.55784
19000 8.64191
19100 8.54409
19200 8.24293
19300 8.22379
19400 8.43217
19500 8.39345
19600 8.48921
19700 8.53106
19800 8.50861
19900 8.56497
20000 8.51462
20100 8.34712
20200 8.25041
20300 8.44613
20400 8.57133
20500 8.49058
20600 8.59961
20700 8.49392
20800 8.50464
20900 8.39914
21000 8.31177
21100 8.20255
21200 7.82759
21300 7.53023
21400 7.54461
21500 7.65361
21600 7.7798
21700 7.81247
21800 7.73812
21900 7.78563
22000 7.74297
22100 7.81845
22200 7.6562
22300 7.61322
22400 7.42823
22500 7.28542
22600 7.24897
22700 7.15786
22800 7.16732
22900 7.08663
23000 6.99874
23100 6.95397
23200 6.8813
23300 6.89308
23400 7.23796
23500 7.66428
23600 7.67625
23700 7.6027
23800 7.68947
23900 7.63258
24000 7.72536
24100 7.93637
24200 8.1691
24300 8.36182
24400 8.46157
24500 8.38473
24600 8.35501
24700 8.56111
24800 8.47823
24900 8.47463
25000 8.65884
25100 8.92604
25200 9.09496
25300 9.35385
25400 9.41224
25500 9.30826
25600 9.37815
25700 9.5166
25800 9.30025
25900 9.10798
26000 9.01336
26100 9.13064
26200 9.04049
26300 8.70256
26400 8.60709
26500 8.72603
26600 8.98806
26700 9.24283
26800 9.14629
26900 9.14674
27000 9.37621
27100 9.45468
27200 9.44286
27300 9.74253
27400 9.80681
27500 9.80835
27600 9.74183
27700 9.73185
27800 9.80331
27900 9.76284
28000 9.72613
28100 9.98188
28200 9.82372
28300 9.91492
28400 9.92998
28500 9.64421
28600 9.71967
28700 9.92049
28800 10.0899
28900 10.2755
29000 10.5334
29100 10.6411
29200 10.4479
29300 10.1543
29400 10.0283
29500 9.84981
29600 9.71047
29700 9.62106
29800 9.36218
29900 9.13044
30000 9.19476
30100 9.30538
30200 8.81255
30300 8.111
30400 7.0299
30500 6.21865
30600 5.42966
30700 4.61644
30800 4.13175
30900 4.06169
31000 4.1392
31100 4.37081
31200 4.89648
31300 5.41041
31400 5.85846
31500 6.39964
31600 7.07066
31700 7.66313
31800 8.16003
31900 8.79668
32000 9.40848
32100 10.1677
32200 10.9547
32300 11.7533
32400 12.5619
32500 13.2866
32600 13.9795
32700 14.6064
32800 15.3224
32900 16.0597
33000 16.7364
33100 17.4949
33200 18.2915
33300 19.0227
33400 19.6563
33500 20.3365
33600 20.8256
33700 21.2883
33800 21.7642
33900 22.3068
34000 22.8216
34100 23.4194
34200 24.1229
34300 24.8644
34400 25.5989
34500 26.335
34600 27.0253
34700 27.6652
34800 28.308
34900 28.9869
35000 29.6415
35100 30.2502
35200 30.8642
35300 31.4981
35400 32.1311
35500 32.7162
35600 33.3573
35700 34.0008
35800 34.6341
35900 35.2069
36000 35.7022
36100 36.1683
36200 36.6652
36300 37.1894
36400 37.7075
36500 38.166
36600 38.5937
36700 38.9695
36800 39.3733
36900 39.7905
37000 40.19
37100 40.5303
37200 40.8785
37300 41.2429
37400 41.6241
37500 41.9859
37600 42.3467
37700 42.7135
37800 43.1067
37900 43.4887
38000 43.9168
38100 44.3156
38200 44.6253
38300 44.9363
38400 45.2653
38500 45.6663
38600 46.1677
38700 46.6008
38800 46.9699
38900 47.3023
39000 47.6842
39100 48.2163
39200 48.784
39300 49.4161
39400 50.1512
39500 50.8899
39600 51.5733
39700 52.0932
39800 52.4842
39900 52.9618
40000 53.395
40100 53.764
40200 54.0723
40300 54.4584
40400 54.9718
40500 55.5671
40600 56.2113
40700 56.8479
40800 57.3295
40900 57.7947
41000 58.3172
41100 58.8469
41200 59.3579
41300 59.94
41400 60.4535
41500 60.7784
41600 61.0363
41700 61.2665
41800 61.616
41900 62.1429
42000 62.773
42100 63.3121
42200 63.7473
42300 64.099
42400 64.5389
42500 65.1102
42600 65.7059
42700 66.298
42800 66.8823
42900 67.5668
43000 68.42
43100 69.2853
43200 70.12
43300 70.9844
43400 71.9194
43500 72.8288
43600 73.6347
43700 74.362
43800 75.1128
43900 75.9458
44000 76.8577
44100 77.6522
44200 78.384
44300 79.3547
44400 80.3249
44500 81.0654
44600 81.5882
44700 82.2297
44800 82.9336
44900 83.3981
45000 83.9656
45100 84.4198
45200 84.9078
45300 85.3289
45400 85.8699
45500 86.5109
45600 87.2102
45700 87.9973
45800 88.63
45900 89.2213
46000 89.7877
46100 90.3455
46200 91.0129
46300 91.7447
46400 92.4612
46500 93.323
46600 94.2102
46700 95.243
46800 96.2697
46900 97.2484
47000 98.0892
47100 98.8561
47200 99.5839
47300 100.285
47400 101.08
47500 101.909
47600 102.592
47700 103.448
47800 104.322
47900 105.023
48000 105.772
48100 106.604
48200 107.493
48300 108.435
48400 109.361
48500 110.336
48600 111.337
48700 112.428
48800 113.609
48900 114.727
49000 115.855
49100 116.972
49200 117.878
49300 118.739
49400 119.658
49500 120.529
49600 121.287
49700 122.17
49800 123.135
49900 124.043
50000 124.887
50100 125.738
50200 126.702
50300 127.593
50400 128.485
50500 129.471
50600 130.417
50700 131.409
50800 132.408
50900 133.331
51000 134.324
51100 135.379
51200 136.342
51300 137.235
51400 138.167
51500 139.093
51600 139.877
51700 140.763
51800 141.624
51900 142.508
52000 143.494
52100 144.437
52200 145.373
52300 146.381
52400 147.369
52500 148.458
52600 149.608
52700 150.721
52800 151.732
52900 152.63
53000 153.487
53100 154.19
53200 154.778
53300 155.381
53400 156.048
53500 156.833
53600 157.554
53700 158.224
53800 158.897
53900 159.677
54000 160.546
54100 161.356
54200 162.041
54300 162.719
54400 163.242
54500 163.782
54600 164.362
54700 164.986
54800 165.625
54900 166.231
55000 166.9
55100 167.645
55200 168.395
55300 169.119
55400 169.768
55500 170.537
55600 171.325
55700 171.93
55800 172.552
55900 173.197
56000 173.822
56100 174.49
56200 175.204
56300 175.83
56400 176.348
56500 176.892
56600 177.663
56700 178.316
56800 178.975
56900 179.52
57000 180.053
57100 180.615
57200 181.189
57300 181.889
57400 182.508
57500 183.051
57600 183.694
57700 184.283
57800 184.825
57900 185.356
58000 185.918
58100 186.486
58200 187.034
58300 187.582
58400 188.104
58500 188.596
58600 189.092
58700 189.587
58800 190.052
58900 190.553
59000 191.099
59100 191.698
59200 192.322
59300 192.994
59400 193.736
59500 194.467
59600 195.318
59700 196.217
59800 197.114
59900 197.998
60000 198.921
