# Time-averaged data for fix myat3
# TimeStep c_rgyr
100 10.8822
200 10.8892
300 10.9464
400 11.0069
500 11.1247
600 11.2881
700 11.3384
800 11.2656
900 11.2038
1000 11.1754
1100 11.2039
1200 11.1194
1300 11.0595
1400 11.1252
1500 11.1698
1600 11.1227
1700 11.0327
1800 11.0414
1900 11.1059
2000 11.1255
2100 11.1783
2200 11.228
2300 11.1652
2400 11.1701
2500 11.1926
2600 11.1463
2700 11.1169
2800 11.087
2900 11.0011
3000 10.9287
3100 10.8657
3200 10.8264
3300 10.7464
3400 10.7235
3500 10.7582
3600 10.8437
3700 10.9047
3800 10.8869
3900 10.9429
4000 11.0297
4100 11.1073
4200 11.0515
4300 10.9523
4400 10.9224
4500 10.8372
4600 10.7716
4700 10.791
4800 10.8641
4900 10.938
5000 10.9555
5100 11.0049
5200 10.9957
5300 10.9689
5400 10.9651
5500 11.0083
5600 11.0142
5700 11.0295
5800 11.0547
5900 11.1064
6000 11.1735
6100 11.2205
6200 11.2233
6300 11.3302
6400 11.4034
6500 11.3958
6600 11.3135
6700 11.2861
6800 11.3113
6900 11.3458
7000 11.334
7100 11.2923
7200 11.2686
7300 11.3032
7400 11.3631
7500 11.4373
7600 11.5438
7700 11.6639
7800 11.8067
7900 11.7743
8000 11.7081
8100 11.6254
8200 11.6034
8300 11.5821
8400 11.541
8500 11.4982
8600 11.4769
8700 11.4992
8800 11.5431
8900 11.5832
9000 11.5938
9100 11.6541
9200 11.6163
9300 11.5418
9400 11.5012
9500 11.5134
