# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 304.016
200 299.058
300 298.373
400 300.54
500 301.844
600 301.052
700 297.066
800 297.995
900 300.724
1000 302.576
1100 299.239
1200 299.732
1300 304.241
1400 303.813
1500 299.458
1600 299.01
1700 300.046
1800 299.156
1900 299.619
2000 302.946
2100 302.556
2200 300.579
2300 296.507
2400 297.81
2500 302.075
2600 302.716
2700 298.86
2800 296.293
2900 298.856
3000 302.803
3100 302.041
3200 300.471
3300 299.112
3400 299.033
3500 297.565
3600 300.997
3700 302.24
3800 300.068
3900 297.526
4000 301.381
4100 302.39
4200 300.315
4300 297.567
4400 299.873
4500 297.629
4600 299.172
4700 299.336
4800 298.542
4900 298.658
5000 296.297
5100 302.026
5200 299.756
5300 302.259
5400 302.062
5500 305.389
5600 299.556
5700 296.509
5800 298.367
5900 302.263
6000 301.576
6100 299.801
6200 298.139
6300 299.822
6400 302.958
6500 301.64
6600 299.56
6700 300.13
6800 296.198
6900 299.22
7000 301.12
7100 302.168
7200 302.283
7300 298.925
7400 301.001
7500 301.545
7600 298.675
7700 297.488
7800 299.164
7900 300.887
8000 299.752
8100 299.196
8200 301.014
8300 300.211
8400 301.209
8500 297.074
8600 296.464
8700 301.2
8800 301.933
8900 299.467
9000 299.589
9100 301.485
9200 302.082
9300 296.674
9400 296.8
9500 299.536
