# Time-averaged data for fix myat3
# TimeStep v_mydensity
100 0.0129889
200 0.0131273
300 0.0133495
400 0.0135659
500 0.0137429
600 0.0139005
700 0.0140468
800 0.0141769
900 0.0142961
1000 0.0144006
1100 0.0144912
1200 0.014569
1300 0.0146469
1400 0.0147264
1500 0.0147846
1600 0.0148176
1700 0.0148583
1800 0.014921
1900 0.0149932
2000 0.0150645
2100 0.0151373
2200 0.0152143
2300 0.0152973
2400 0.0153801
2500 0.0154598
2600 0.0155348
2700 0.0156113
2800 0.0156926
2900 0.0157847
3000 0.0158782
3100 0.0159717
3200 0.0160776
3300 0.0161948
3400 0.0163032
3500 0.0163986
3600 0.0164903
3700 0.0165829
3800 0.0166741
3900 0.016766
4000 0.0168581
4100 0.0169543
4200 0.0170464
4300 0.0171327
4400 0.0172225
4500 0.0173187
4600 0.0174162
4700 0.0174989
4800 0.017576
4900 0.0176578
5000 0.0177626
5100 0.0178866
5200 0.0180089
5300 0.0181233
5400 0.0182268
5500 0.0183248
5600 0.0184237
5700 0.0185268
5800 0.0186236
5900 0.0186988
6000 0.0187733
6100 0.0188689
6200 0.0189823
6300 0.0190932
6400 0.0192003
6500 0.0192948
6600 0.0193802
6700 0.0194688
6800 0.0195618
6900 0.0196513
7000 0.0197457
7100 0.0198467
7200 0.0199582
7300 0.0200816
7400 0.0201995
7500 0.020303
7600 0.0203974
7700 0.0204802
7800 0.0205608
7900 0.0206451
8000 0.0207328
8100 0.0208223
8200 0.020911
8300 0.0209964
8400 0.0210845
8500 0.0211726
8600 0.0212638
8700 0.0213503
8800 0.0214272
8900 0.0214957
9000 0.0215739
9100 0.0216696
9200 0.0217775
9300 0.0218963
9400 0.0220149
9500 0.0221219
9600 0.0222208
9700 0.0223199
9800 0.0224177
9900 0.0225182
10000 0.0226215
10100 0.0227309
10200 0.0228335
10300 0.0229285
10400 0.0230286
10500 0.0231266
10600 0.0232179
10700 0.023306
10800 0.0233994
10900 0.023512
11000 0.0236368
11100 0.0237552
11200 0.0238486
11300 0.0239171
11400 0.0239901
11500 0.0240941
11600 0.0242164
11700 0.0243428
11800 0.0244643
11900 0.0245505
12000 0.024614
12100 0.0246885
12200 0.0247784
12300 0.0248836
12400 0.0249859
12500 0.0250914
12600 0.0252111
12700 0.0253472
12800 0.0254692
12900 0.0255688
13000 0.0256724
13100 0.0257806
13200 0.0258682
13300 0.0259306
13400 0.0259879
13500 0.0260425
13600 0.0260864
13700 0.0261332
13800 0.0261991
13900 0.0262744
14000 0.0263527
14100 0.0264484
14200 0.0265536
14300 0.0266519
14400 0.0267479
14500 0.0268551
14600 0.0269575
14700 0.0270359
14800 0.0270991
14900 0.0271708
15000 0.0272662
15100 0.0273585
15200 0.027426
15300 0.0274899
15400 0.0275516
15500 0.0276089
15600 0.0276603
15700 0.0277113
15800 0.0277784
15900 0.0278553
16000 0.0279276
16100 0.0279913
16200 0.0280501
