# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 12.9002
200 36.8503
300 67.1087
400 96.5149
500 120.937
600 140.558
700 160.315
800 184.009
900 198.929
1000 219.462
1100 236.899
1200 251.125
1300 267.101
1400 274.211
1500 287.18
1600 299.021
1700 299.757
1800 305.325
1900 311.374
2000 314.527
2100 311.048
2200 307.746
2300 296.775
2400 297.288
2500 299.167
2600 298.721
2700 295.234
2800 292.779
2900 294.22
3000 296.718
3100 298.557
3200 299.347
3300 306.705
3400 305.995
3500 303.543
3600 303.547
3700 304.351
3800 302.125
3900 297.795
4000 299.012
4100 299.545
4200 294.651
4300 297.994
4400 295.957
4500 299.391
4600 298.022
4700 300.195
4800 301.139
4900 303.412
5000 302.102
5100 302.613
5200 302.239
5300 301.991
5400 301.232
5500 297.144
5600 295.15
5700 299.428
5800 300.896
5900 302.106
6000 296.995
6100 296.716
6200 299.451
6300 301.507
6400 300.326
6500 302.762
6600 298.309
6700 298.642
6800 301.209
6900 303.086
7000 298.602
7100 297.463
7200 296.068
7300 300.685
7400 301.692
7500 302.198
7600 300.949
7700 298.165
7800 297.745
7900 301.755
8000 299.459
8100 298.823
8200 296.581
8300 303.702
8400 303.325
8500 302.405
8600 298.981
8700 301.344
8800 301.098
8900 303.245
9000 297.646
9100 296.91
9200 295.496
9300 295.163
9400 298.301
9500 300.705
9600 305.907
9700 304.692
9800 303.365
9900 303.578
10000 300.365
10100 295.257
10200 295.186
10300 295.306
10400 298.331
10500 302.093
10600 305.742
10700 302.566
10800 298.906
10900 298.148
11000 298.263
11100 302.333
11200 304.5
11300 302.128
11400 295.531
11500 296.072
11600 298.902
11700 297.691
11800 302.536
11900 301.76
12000 302.564
12100 302.131
12200 299.431
12300 294.218
12400 299.456
12500 299.312
12600 298.811
12700 298.932
12800 298.668
12900 300.3
13000 303.134
13100 305.758
13200 308.229
13300 298.933
13400 295.19
13500 299.391
13600 295.143
13700 296.235
13800 297.77
13900 299.015
14000 303.125
14100 300.001
14200 297.426
14300 298.801
14400 300.354
14500 304.877
14600 308.318
14700 307.918
14800 304.556
14900 300.964
15000 294.486
15100 295.917
15200 297.214
15300 293.326
15400 300.617
15500 301.315
15600 296.759
15700 298.444
15800 299.32
15900 301.632
16000 303.631
16100 304.934
16200 303.939
16300 304.642
16400 301.786
16500 294.372
16600 297.64
16700 297.094
16800 301.813
16900 299.721
17000 302.771
17100 301.322
17200 294.491
17300 294.846
17400 294.365
17500 298.635
17600 300.662
17700 303.943
17800 301.836
17900 305.733
18000 303.49
18100 301.471
18200 302.282
18300 302.542
18400 296.614
18500 295.844
18600 297.108
18700 297.141
18800 300.846
18900 301.208
19000 300.309
19100 305.026
19200 305.084
19300 303.831
19400 301.909
19500 300.281
19600 297.876
19700 298.194
19800 298.489
19900 299.166
20000 304.195
20100 305.879
20200 301.634
20300 296.094
20400 294.803
20500 293.055
20600 297.396
20700 301.565
20800 305.617
20900 310.139
21000 306.865
21100 307.248
21200 299.741
21300 298.354
21400 295.568
21500 298.741
21600 302.288
21700 306.038
21800 302.736
21900 302.081
22000 300.912
22100 296.488
22200 299.36
22300 300.135
22400 294.741
22500 295.874
22600 301.466
22700 301.132
22800 302.507
22900 301.951
23000 300.832
23100 304.446
23200 300.619
23300 298.333
23400 296.882
23500 295.572
23600 302.731
23700 302.342
23800 310.776
23900 306.149
24000 302.281
24100 305.867
24200 300.278
24300 296.566
24400 297.247
24500 299.922
24600 301.679
24700 305.834
24800 303.27
24900 298.204
25000 298.355
25100 291.56
25200 291.693
25300 299.669
25400 299.51
25500 298.58
25600 301.491
25700 298.95
25800 296.785
25900 301.829
26000 307.046
26100 308.745
26200 303.067
26300 299.355
26400 295.047
26500 292.388
26600 295.33
26700 301.312
26800 302.654
26900 302.487
27000 304.126
27100 300.843
27200 295.949
27300 296.11
27400 298.169
27500 296.209
27600 297.176
27700 295.871
27800 293.595
27900 293.918
28000 294.827
28100 300.662
28200 303.949
28300 305.111
28400 305.765
28500 302.86
28600 298.199
28700 296.235
28800 292.232
28900 292.301
29000 293.415
29100 298.7
29200 299.694
29300 302.516
29400 301.819
29500 298.247
29600 295.299
29700 299.356
29800 305.374
29900 306.14
30000 308.88
30100 305.13
30200 301.096
30300 296.01
30400 302.292
30500 301.188
30600 298.407
30700 304.515
30800 300.66
30900 296.253
31000 292.357
31100 295.674
31200 298.28
31300 298.076
31400 294.967
31500 299.877
31600 301.295
31700 307.614
31800 302.286
31900 297.462
32000 293.261
32100 295.198
32200 303.57
32300 304.19
32400 302.522
32500 297.806
32600 297.511
32700 300.767
32800 299.849
32900 304.318
33000 298.15
33100 298.1
33200 296.548
33300 292.333
33400 295.472
33500 296.266
33600 298.319
33700 301.985
33800 299.398
33900 298.508
34000 299.126
34100 302.173
34200 304.688
34300 301.845
34400 303.041
