# Time-averaged data for fix myat2
# TimeStep v_myvol
100 80315.7
200 78069.6
300 76256.9
400 74739.6
500 73436.4
600 72294.2
700 71339.3
800 70515.8
900 69664.9
1000 68814.1
1100 67952.3
1200 67172.5
1300 66380.1
1400 65483.4
1500 64712.2
1600 63981.4
1700 63249.6
1800 62600.4
1900 61958.6
2000 61356.3
2100 60659
2200 59858.8
2300 59186
2400 58548.2
2500 57888.8
2600 57231.7
2700 56604.3
2800 56045.7
2900 55480
3000 54839.2
3100 54245.8
3200 53605.4
3300 52964.2
3400 52317.8
3500 51677
3600 51078.6
3700 50445.8
3800 49814.9
3900 49293
4000 48803.6
4100 48283.4
4200 47873.5
4300 47544
4400 47237
4500 46965.8
4600 46570.8
4700 46213.7
4800 45830.6
4900 45342.1
5000 44905.9
5100 44602.4
5200 44307
5300 43907.9
5400 43497.7
5500 43119.4
5600 42804.8
5700 42524.4
5800 42238.9
5900 41860.8
6000 41425.1
6100 41141.4
6200 41010.6
6300 40836.7
6400 40504.3
6500 40165.5
6600 39916.6
6700 39795.7
6800 39819
6900 39822.8
7000 39679.7
7100 39509.6
7200 39262.7
7300 39064.2
7400 38903.8
7500 38741.8
7600 38561.6
7700 38290.1
7800 38073.1
7900 37992.2
8000 37862.5
8100 37703.1
8200 37586.9
8300 37518.2
8400 37461.5
8500 37399.6
8600 37299.8
8700 37172.4
8800 37058.9
8900 36963.5
9000 36904
9100 36892
9200 36885.3
9300 36823.2
9400 36756.7
9500 36681.2
9600 36469.1
9700 36229.6
9800 36052.4
9900 35906.2
10000 35820.8
10100 35759.7
10200 35684.9
10300 35621.3
10400 35532.5
10500 35474.8
10600 35386.1
10700 35309.6
10800 35224.4
10900 35096.9
11000 34925.7
11100 34783
11200 34701.4
11300 34595.8
11400 34551.4
11500 34531.4
11600 34475.6
11700 34353.8
11800 34165.6
11900 33975.8
12000 33806.7
12100 33689.8
12200 33654.7
12300 33611.6
12400 33598.2
12500 33604.5
12600 33724.1
12700 33860.1
12800 33908.7
12900 33797.5
13000 33638
13100 33517
13200 33408.2
13300 33388.1
13400 33407.2
13500 33375.7
13600 33348.5
13700 33433.8
13800 33623.7
13900 33835.3
14000 33993.8
14100 34073.1
14200 34044.4
14300 34045.7
14400 34030.1
14500 33991.7
14600 33916.1
14700 33782.8
14800 33662.6
14900 33553.2
15000 33420
15100 33303.6
15200 33262.2
15300 33239.3
15400 33212.7
15500 33206.5
15600 33207.9
15700 33186.8
15800 33189.1
15900 33165.9
16000 33080.1
16100 33008.8
16200 33051.1
16300 33115.3
16400 33113.4
16500 33074.6
16600 33023.9
16700 32969.2
16800 32854.3
16900 32675
17000 32610.8
17100 32658.3
17200 32785.9
17300 32979.7
17400 33142.8
17500 33162
17600 33201.5
17700 33254.7
17800 33370.1
17900 33467.5
18000 33445.5
18100 33306
18200 33187.5
18300 33154.7
18400 33140.8
18500 33136
18600 33179.2
18700 33291.8
18800 33370.8
18900 33352.5
19000 33248.5
19100 33173.9
19200 33116.6
19300 32994.8
19400 32835.8
19500 32742.5
19600 32734.1
