  using 8 OpenMP thread(s) per MPI task
using multi-threaded neighbor list subroutines
Reading data file ...
  orthogonal box = (-60 -40 -40) to (60 40 40)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  700 atoms
  read_data CPU = 0.004 seconds
Reading airebo potential file CH.airebo with DATE: 2011-10-25
700 atoms in group carbon_atoms
10 atoms in group cnt_top
10 atoms in group cnt_bot
680 atoms in group cnt_mid
630 atoms in group rdel
Deleted 10 atoms, new total = 690
Resetting atom IDs ...
Last active /omp style is pair_style airebo/omp
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12.2
  ghost atom cutoff = 12.2
  binsize = 6.1, bins = 20 14 14
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair airebo/omp, perpetual
      attributes: full, newton on, ghost, omp
      pair build: full/bin/ghost/omp
      stencil: full/ghost/bin/3d
      bin: standard
WARNING: Temperature for thermo pressure is not for group all (src/thermo.cpp:533)
Last active /omp style is pair_style airebo/omp
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 12.74 | 12.74 | 12.74 Mbytes
   Step          Temp          TotEng         v_Lcnt         v_Fcnt    
         0   300           -4908.9675      55.472         12.37129     
       100   268.05507     -4907.7962      55.472         23.534758    
       200   250.12205     -4906.4788      55.472         6.428871     
       300   250.89416     -4904.9545      55.472         16.575865    
       400   271.89178     -4903.2615      55.472         15.465768    
       500   280.94536     -4901.6558      55.472         9.5016013    
       600   285.50468     -4900.1328      55.472         9.2370842    
       700   299.67483     -4898.7679      55.472         22.811526    
       800   301.77921     -4897.6696      55.472         7.5019181    
       900   312.02188     -4896.8873      55.472         15.124637    
      1000   314.70746     -4896.4962      55.472         13.960574    
      1100   305.24715     -4896.6002      55.472         8.6591703    
      1200   306.52387     -4897.1797      55.472         19.175032    
      1300   295.59805     -4898.0468      55.472         22.17418     
      1400   301.66393     -4898.7895      55.472         6.5480994    
      1500   293.52882     -4899.3814      55.472         21.474025    
      1600   283.20202     -4899.7409      55.472         23.366145    
      1700   301.59512     -4899.7567      55.472         11.388887    
      1800   291.93012     -4899.3891      55.472         16.990881    
      1900   296.98749     -4898.7184      55.472         14.2059      
      2000   308.9849      -4897.9578      55.472         7.0454208    
      2100   303.59675     -4897.4306      55.472         18.61547     
      2200   305.13825     -4897.1589      55.472         16.038784    
      2300   313.98321     -4897.162       55.472         11.184532    
      2400   296.61785     -4897.563       55.472         12.212756    
