# Chunk-averaged data for fix myac3 and group ions
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 42 30.000000000000004
  1 -20.5 0 0 0
  2 -19.5 0 0 0
  3 -18.5 0 0 0
  4 -17.5 0 0 0
  5 -16.5 0 0 0
  6 -15.5 0 0 0
  7 -14.5 0 0 0
  8 -13.5 0 0 0
  9 -12.5 0 0 0
  10 -11.5 0 0 0
  11 -10.5 0 0 0
  12 -9.5 0.395133 0.0271728 -0.000163813
  13 -8.5 7.66133 0.694813 -0.000178652
  14 -7.5 2.2656 0.159874 -0.000208645
  15 -6.5 1.03913 0.067622 -0.00014314
  16 -5.5 0.502067 0.03262 -0.000166022
  17 -4.5 0.318333 0.0212508 -5.63216e-05
  18 -3.5 0.865867 0.0651559 -0.000131603
  19 -2.5 1.76567 0.135755 -5.34534e-05
  20 -1.5 1.817 0.147686 -4.45672e-05
  21 -0.5 1.1596 0.100555 -6.88306e-05
  22 0.5 1.149 0.0977457 6.5477e-06
  23 1.5 1.71067 0.137222 4.19272e-05
  24 2.5 1.04087 0.0846386 7.22309e-05
  25 3.5 0.6232 0.0462806 6.55472e-05
  26 4.5 0.425 0.0305574 7.89977e-05
  27 5.5 0.138133 0.00966037 0.000207214
  28 6.5 0.158667 0.0115486 0.000275834
  29 7.5 0.704533 0.051309 0.00022133
  30 8.5 5.79573 0.521935 0.000196118
  31 9.5 0.463667 0.0340112 0.000188309
  32 10.5 0.0008 5.19772e-05 -0.002005
  33 11.5 0 0 0
  34 12.5 0 0 0
  35 13.5 0 0 0
  36 14.5 0 0 0
  37 15.5 0 0 0
  38 16.5 0 0 0
  39 17.5 0 0 0
  40 18.5 0 0 0
  41 19.5 0 0 0
  42 20.5 0 0 0
