# Chunk-averaged data for fix myac2 and group wall
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 42 431.99999999999994
  1 -20.5 0 0 0
  2 -19.5 0 0 0
  3 -18.5 0 0 0
  4 -17.5 0 0 0
  5 -16.5 0.901467 0.0687384 -0.0002
  6 -15.5 71.0985 5.42139 -0.0002
  7 -14.5 0.573467 0.0437278 -0.0002
  8 -13.5 71.4265 5.4464 -0.0002
  9 -12.5 0.4882 0.0372261 -0.0002
  10 -11.5 71.5118 5.4529 -0.0002
  11 -10.5 0 0 0
  12 -9.5 0 0 0
  13 -8.5 0 0 0
  14 -7.5 0 0 0
  15 -6.5 0 0 0
  16 -5.5 0 0 0
  17 -4.5 0 0 0
  18 -3.5 0 0 0
  19 -2.5 0 0 0
  20 -1.5 0 0 0
  21 -0.5 0 0 0
  22 0.5 0 0 0
  23 1.5 0 0 0
  24 2.5 0 0 0
  25 3.5 0 0 0
  26 4.5 0 0 0
  27 5.5 0 0 0
  28 6.5 0 0 0
  29 7.5 0 0 0
  30 8.5 0 0 0
  31 9.5 0 0 0
  32 10.5 0 0 0
  33 11.5 70.2237 5.35468 0.0002
  34 12.5 1.77633 0.135449 0.0002
  35 13.5 69.8073 5.32293 0.0002
  36 14.5 2.19267 0.167195 0.0002
  37 15.5 68.5379 5.22614 0.0002
  38 16.5 3.46207 0.263989 0.0002
  39 17.5 0 0 0
  40 18.5 0 0 0
  41 19.5 0 0 0
  42 20.5 0 0 0
