# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
1830100 3.89629 4
1830200 3.69993 4
1830300 3.52182 4
1830400 3.3807 4
1830500 3.1904 4
1830600 3.09439 4
1830700 3.2072 4
1830800 3.40959 4
1830900 3.71531 4
1831000 3.81672 4
1831100 3.74062 4
1831200 3.77938 4
1831300 3.89908 4
1831400 4.23263 4
1831500 4.6347 4
1831600 4.96908 4
1831700 5.38801 4
1831800 5.52407 4
1831900 5.19329 4
1832000 4.49617 4
1832100 3.70289 4
1832200 3.0553 4
1832300 2.54736 4
1832400 2.4905 4
1832500 2.65573 4
1832600 2.90266 4
1832700 3.10012 4
1832800 3.44898 4
1832900 4.00637 4
1833000 4.50455 4
1833100 4.52758 4
1833200 4.49752 4
1833300 4.26905 4
1833400 3.77537 4
1833500 3.39533 4
1833600 3.2728 4
1833700 3.43147 4
1833800 3.6129 4
1833900 3.74747 4
1834000 3.76473 4
1834100 3.76615 4
1834200 3.92282 4
1834300 4.05339 4
1834400 3.98596 4
1834500 3.92136 4
1834600 3.67867 4
1834700 3.28904 4
1834800 2.73408 4
1834900 2.26727 4
1835000 1.98744 4
1835100 1.98117 4
1835200 2.25761 4
1835300 2.66278 4
1835400 3.02572 4
1835500 3.56602 4
1835600 3.94296 4
1835700 4.10422 4
1835800 4.31402 4
1835900 4.65881 4
1836000 4.89217 4
1836100 5.26226 4
1836200 5.56955 4
1836300 5.70745 4
1836400 5.89869 4
1836500 6.03525 4
1836600 6.02748 4
1836700 5.91387 4
1836800 5.46034 4
1836900 4.77342 4
1837000 4.07594 4
1837100 3.73635 4
1837200 3.71582 4
1837300 3.78203 4
1837400 3.67648 4
1837500 3.38497 4
1837600 3.26048 4
1837700 3.41993 4
1837800 3.89834 4
1837900 4.32812 4
1838000 4.57841 4
1838100 4.87895 4
1838200 5.03456 4
1838300 5.19428 4
1838400 4.87599 4
1838500 4.44655 4
1838600 4.14307 4
1838700 3.99155 4
1838800 4.07624 4
1838900 4.27375 4
1839000 4.40692 4
1839100 4.4388 4
1839200 4.57939 4
1839300 4.65902 4
1839400 4.68331 4
1839500 4.51697 4
1839600 4.35999 4
1839700 4.15035 4
1839800 4.15946 4
1839900 3.97764 4
1840000 3.86041 4
1840100 3.84933 4
1840200 4.07088 4
1840300 3.96608 4
1840400 3.87653 4
1840500 4.02537 4
1840600 4.05439 4
1840700 3.96826 4
1840800 3.97164 4
1840900 4.05471 4
1841000 4.28832 4
1841100 4.57223 4
1841200 4.70407 4
1841300 4.61737 4
1841400 3.96728 4
1841500 3.18757 4
1841600 2.66056 4
1841700 2.77653 4
1841800 3.3523 4
1841900 3.89122 4
1842000 4.35749 4
1842100 4.64589 4
1842200 4.77874 4
1842300 4.94333 4
1842400 5.13203 4
1842500 5.19702 4
1842600 5.02795 4
1842700 4.89178 4
1842800 5.06205 4
1842900 5.00592 4
1843000 4.63767 4
1843100 4.29096 4
1843200 3.94487 4
1843300 3.7979 4
1843400 3.61301 4
1843500 3.35296 4
1843600 3.38152 4
1843700 3.44517 4
1843800 3.54464 4
1843900 3.52802 4
1844000 3.50726 4
1844100 3.59335 4
1844200 3.70525 4
1844300 3.80225 4
1844400 3.90446 4
1844500 3.9541 4
1844600 4.04216 4
1844700 4.03344 4
1844800 3.74642 4
1844900 3.56411 4
1845000 3.497 4
1845100 3.56729 4
1845200 3.689 4
1845300 3.80555 4
1845400 3.7499 4
1845500 3.57337 4
1845600 3.69235 4
1845700 3.84787 4
1845800 3.83601 4
1845900 3.67604 4
1846000 3.5898 4
1846100 3.55599 4
1846200 3.73661 4
1846300 4.25143 4
1846400 4.42862 4
1846500 4.33695 4
1846600 4.03207 4
1846700 4.15914 4
1846800 4.4516 4
1846900 4.58727 4
1847000 4.55155 4
1847100 4.47874 4
1847200 4.30905 4
1847300 3.83495 4
1847400 3.49734 4
1847500 3.74988 4
1847600 4.22696 4
1847700 4.32885 4
1847800 4.02472 4
1847900 3.82388 4
1848000 3.82964 4
1848100 3.69919 4
1848200 3.50182 4
1848300 3.28213 4
1848400 3.1576 4
1848500 2.94176 4
1848600 2.81015 4
1848700 2.79331 4
1848800 2.89068 4
1848900 3.02849 4
1849000 3.53615 4
1849100 4.07053 4
1849200 4.43011 4
1849300 4.37488 4
1849400 4.05279 4
1849500 3.88115 4
1849600 3.99541 4
1849700 4.1189 4
1849800 4.18577 4
1849900 4.20609 4
1850000 4.14364 4
1850100 4.03146 4
1850200 3.81269 4
1850300 3.62314 4
1850400 3.55213 4
1850500 3.56599 4
1850600 3.63496 4
1850700 3.80812 4
1850800 3.90415 4
1850900 3.91906 4
1851000 3.78616 4
1851100 3.30776 4
1851200 2.93182 4
1851300 2.85558 4
1851400 3.11053 4
1851500 3.51656 4
1851600 3.6741 4
1851700 4.25199 4
1851800 4.99695 4
1851900 5.23657 4
1852000 5.19924 4
1852100 5.10965 4
1852200 4.55063 4
1852300 3.69908 4
1852400 2.99077 4
1852500 2.53925 4
1852600 2.60141 4
1852700 2.96986 4
1852800 3.40144 4
1852900 3.82034 4
1853000 4.36978 4
1853100 4.90484 4
1853200 5.37021 4
1853300 5.3811 4
1853400 5.07454 4
1853500 4.72204 4
1853600 4.3647 4
1853700 3.92936 4
1853800 3.71904 4
1853900 3.68361 4
1854000 3.76719 4
1854100 3.88444 4
1854200 3.82407 4
1854300 3.6911 4
1854400 3.46373 4
1854500 3.19647 4
1854600 3.26476 4
1854700 3.62514 4
1854800 3.8964 4
1854900 4.09292 4
1855000 4.4242 4
1855100 4.85695 4
1855200 4.94799 4
1855300 4.84509 4
1855400 4.71532 4
1855500 4.67134 4
1855600 4.73462 4
1855700 4.65958 4
1855800 4.43423 4
1855900 4.08794 4
1856000 3.74472 4
1856100 3.40627 4
1856200 3.2177 4
1856300 3.26495 4
1856400 3.40013 4
1856500 3.71561 4
1856600 4.1789 4
1856700 4.59976 4
1856800 4.60303 4
1856900 4.59866 4
1857000 4.53612 4
1857100 4.58029 4
1857200 4.71825 4
1857300 4.78531 4
1857400 4.79799 4
1857500 4.39651 4
1857600 3.89836 4
1857700 3.3076 4
1857800 2.89222 4
1857900 2.75328 4
1858000 2.876 4
1858100 3.2675 4
1858200 3.76495 4
1858300 3.98358 4
1858400 3.84547 4
1858500 3.50533 4
1858600 3.04089 4
1858700 3.10189 4
1858800 3.64849 4
1858900 4.08278 4
1859000 4.2257 4
1859100 4.25008 4
1859200 4.34275 4
1859300 4.12859 4
1859400 3.69005 4
1859500 3.27798 4
1859600 3.15842 4
1859700 3.43395 4
1859800 3.76859 4
1859900 4.04948 4
1860000 4.10576 4
1860100 3.93801 4
1860200 3.71424 4
1860300 3.61215 4
1860400 3.64512 4
1860500 3.88075 4
1860600 4.04943 4
1860700 4.31369 4
1860800 4.37075 4
1860900 4.51211 4
1861000 4.37001 4
1861100 4.05933 4
1861200 3.71378 4
1861300 3.67536 4
1861400 4.2542 4
1861500 4.80972 4
1861600 4.92477 4
1861700 4.8215 4
1861800 4.61708 4
1861900 4.37766 4
1862000 4.09138 4
1862100 3.5954 4
1862200 3.06528 4
1862300 2.86499 4
1862400 2.81962 4
1862500 2.83316 4
1862600 3.20768 4
1862700 3.69645 4
1862800 3.87686 4
1862900 3.66577 4
1863000 3.55 4
1863100 3.61464 4
1863200 3.73189 4
1863300 3.7369 4
1863400 3.69976 4
1863500 3.95054 4
1863600 4.28248 4
1863700 4.21725 4
1863800 3.89581 4
1863900 3.62363 4
1864000 3.13062 4
1864100 2.69844 4
1864200 2.65344 4
1864300 2.96943 4
1864400 3.16462 4
1864500 3.04195 4
1864600 3.38857 4
1864700 4.08383 4
1864800 4.75527 4
1864900 5.00242 4
1865000 4.7958 4
1865100 4.479 4
1865200 4.26663 4
1865300 3.89576 4
1865400 3.66073 4
1865500 3.70267 4
1865600 3.79821 4
1865700 3.78227 4
1865800 3.59073 4
1865900 3.57113 4
1866000 3.60863 4
1866100 3.85149 4
1866200 3.93551 4
1866300 3.64956 4
1866400 3.34312 4
1866500 3.21914 4
1866600 3.19787 4
1866700 3.33203 4
1866800 3.60489 4
1866900 3.88164 4
1867000 4.11017 4
1867100 4.26919 4
1867200 4.57451 4
1867300 4.73938 4
1867400 4.82872 4
1867500 4.92163 4
1867600 4.5685 4
1867700 4.05242 4
1867800 3.56594 4
1867900 3.24432 4
1868000 3.09288 4
1868100 3.02823 4
1868200 3.15378 4
1868300 3.46977 4
1868400 3.79962 4
1868500 3.91015 4
1868600 4.18151 4
1868700 4.47214 4
1868800 4.64626 4
1868900 4.45653 4
1869000 4.04307 4
1869100 3.34939 4
1869200 3.03925 4
1869300 3.12512 4
1869400 3.27428 4
1869500 3.33519 4
1869600 3.11514 4
1869700 2.97617 4
1869800 2.91965 4
1869900 3.11359 4
1870000 3.4819 4
1870100 3.92166 4
1870200 4.27562 4
1870300 4.5212 4
1870400 4.61112 4
1870500 4.72746 4
1870600 4.75561 4
1870700 4.76163 4
1870800 4.85311 4
1870900 4.79491 4
1871000 4.48245 4
1871100 4.15064 4
1871200 4.07413 4
1871300 4.04335 4
1871400 4.10448 4
1871500 4.04242 4
1871600 4.01457 4
1871700 4.03231 4
1871800 4.02955 4
1871900 4.04227 4
1872000 4.13977 4
1872100 4.25601 4
1872200 4.40428 4
